sender_name,sender_id,sender_place,sender_place_id,sender_place_lat,sender_place_long,date_sent,receiver_name,receiver_id,receiver_place,receiver_place_id,receiver_place_lat,receiver_place_long
"Walker-Arnott, George Arnott (1799–1869)",http://d-nb.info/gnd/117662933,Edinburgh,https://www.geonames.org/2650225,55.95206,-3.19648,1822-03-14,"Humboldt, Alexander von (1769–1859)",http://d-nb.info/gnd/118554700,Paris,https://www.geonames.org/2988507,48.85341,2.3488
"Humboldt, Alexander von (1769–1859)",http://d-nb.info/gnd/118554700,Berlin,https://www.geonames.org/2950159,52.52437,13.41053,1849-06-20,"Kunth, Carl Sigismund (1788–1850)",http://d-nb.info/gnd/115674667,Berlin,https://www.geonames.org/2950159,52.52437,13.41053
"Humboldt, Alexander von (1769–1859)",http://d-nb.info/gnd/118554700,Berlin,https://www.geonames.org/2950159,52.52437,13.41053,n/a,"Kunth, Carl Sigismund (1788–1850)",http://d-nb.info/gnd/115674667,Berlin,https://www.geonames.org/2950159,52.52437,13.41053
"Humboldt, Alexander von (1769-1859)",http://d-nb.info/gnd/118554700,"Moskau [Moscau, Moscou, Moskva, Москва]",https://www.geonames.org/524901,55.75222,37.61556,1829-11-27,"Polier, Adolphe, Graf von (1795-1830)",https://edition-humboldt.de/v8/H0002056,"Sankt Petersburg [Petersburg, St. Petersburg,
                        Pétersbourg, Санкт-Петербу́рг] (Ehemalige Residenzstadt des Zaren
                        (Russland))",https://www.geonames.org/498817,59.93863,30.31413
"Humboldt, Alexander von (1769–1859) ",http://d-nb.info/gnd/118554700,Bayreuth,https://www.geonames.org/2951825,49.94782,11.57893,1794-02-06,"Soemmerring, Samuel Thomas Ritter von (1755–1830) ",http://d-nb.info/gnd/118805193,Mainz,https://www.geonames.org/2874225,49.98419,8.2791
"Humboldt, Alexander von (1769–1859)",http://d-nb.info/gnd/118554700,Berlin,https://www.geonames.org/2950159,52.52437,13.41053,1845-09-25,"Kunth, Carl Sigismund (1788–1850)",http://d-nb.info/gnd/115674667,München,https://www.geonames.org/2867714,48.13743,11.57549
"Humboldt, Alexander von (1769–1859)",http://d-nb.info/gnd/118554700,Berlin,https://www.geonames.org/2950159,52.52437,13.41053,1829-03-03,"Gmelin, Karl Christian (1762–1837)",http://d-nb.info/gnd/118966243,Karlsruhe,https://www.geonames.org/2892794,49.00937,8.40444
"Humboldt, Alexander von (1769–1859) ",http://d-nb.info/gnd/118554700,Berlin,https://www.geonames.org/2950159,52.52437,13.41053,1839-04-20,"Kunth, Carl Sigismund (1788–1850 ) ",http://d-nb.info/gnd/115674667,Berlin,https://www.geonames.org/2950159,52.52437,13.41053
"Walker-Arnott, George Arnott (1799–1869)",http://d-nb.info/gnd/117662933,Paris,https://www.geonames.org/2988507,48.85341,2.3488,1825-03-15,"Humboldt, Alexander von (1769–1859)",http://d-nb.info/gnd/118554700,Paris,https://www.geonames.org/2988507,48.85341,2.3488
"Humboldt, Alexander von (1769–1859) ",http://d-nb.info/gnd/118554700,"Bayreuth [Bareith] (Residenzstadt in
                        Oberfranken)",https://www.geonames.org/2951825,49.94782,11.57893,1795-07-17,"Willdenow, Karl Ludwig (1765–1812) ",http://d-nb.info/gnd/117387436,Berlin,https://www.geonames.org/2950159,52.52437,13.41053
